ts,dr_pos,dr_vel,dr_acc,sub_pos,goal_force,subj_force,ped_force,obj_force
11,"[10.005750585374066, 0.9817784960048883, 8.01484791622488]","[0.010910360491117968, 0.16028553327823875, -0.044664529589181365]","[0.025756920589528262, -0.9609249963238309, -0.03232842041726164]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
12,"[10.307926626589754, 1.0059379884268693, 7.948398554920423]","[0.7343659333685119, 0.15202069169402635, -0.25057740926186284]","[1.3828351229622227, 0.5491793624527452, -0.7432610531366013]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
13,"[11.82767187148353, 1.0068908825562222, 7.846958484312159]","[0.7557775916438262, -0.2020992640266185, -1.1995336656262927]","[-1.0905632999244075, -0.13396717288753635, 0.783741157950324]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
14,"[12.671520070988064, 1.0015391902768582, 8.248765578605859]","[1.3368287855388907, 0.27529592755649135, -0.5255841603487592]","[1.5838149128317713, -1.4118295884076315, 0.10266470287079166]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
15,"[12.779563856546174, 0.9995406146708071, 9.212690545633828]","[0.5655636568718319, -0.028282039646969816, 0.48592739657650175]","[-1.1191991934531298, 0.22079343229081116, -1.2126490170329962]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
16,"[12.503689493589933, 1.011065420145285, 9.120663478002944]","[-0.5140773487357828, -0.0006670610080373696, 0.09031031105238346]","[1.0043294863798513, -0.06363715673301379, -0.218732011169398]","[11.0, 1.0549999999996043, 8.990357257428]",0.0,0.0,0.0,0.0
17,"[12.427241479908812, 1.012396375179315, 8.719924224585679]","[-0.10862242839173204, 0.01714744047536406, 0.28493343837753055]","[0.5132657389866901, 0.2742604892059519, 0.8012235126640954]","[11.0, 1.05, 8.424298628832]",0.0,0.0,0.0,0.0
18,"[11.873624084176644, 1.0065928767892018, 8.67363243573877]","[0.6676766269145211, -0.005961738253061837, 0.5790064179203785]","[0.17920768940782317, -0.1741624293936459, -0.5344340480191168]","[11.0, 1.05, 7.793400000000002]",0.0,0.0,0.0,0.0
19,"[11.297886577786507, 1.0069921390589824, 8.556641915382253]","[-0.07671247117077881, -0.0038260107143433296, 0.2597433758024098]","[-0.0658960624257271, -0.08949346977627902, -0.21276033873018907]","[11.0, 1.05, 7.1838]",0.0,0.0,0.0,0.0
20,"[11.306243918834733, 1.0071841241678585, 8.21267693364113]","[-0.5985893229523063, 0.2850813828118588, 0.8706585538558198]","[-1.9629008365681377, 0.25052241550344023, 1.8533160833353879]","[11.0, 1.05, 6.595200000000002]",0.0,0.0,0.0,0.0
21,"[11.567653596471752, 1.0042070820502405, 6.93037859508677]","[-0.22945258435533622, -0.07250249365094788, 0.41817683762850244]","[2.167704758616662, 0.6399281042046706, -0.7107561484435143]","[11.0, 1.05, 5.965800000000002]",0.0,0.0,0.0,0.0
22,"[11.452988180413877, 1.0084299158172056, 6.607425690663453]","[-0.5881514049341589, 0.22378425885133102, 0.8255570324369907]","[-2.1454238626862354, 0.05775402159430287, 1.1541510059759341]","[11.0, 1.05, 5.3964000000000025]",0.0,0.0,0.0,0.0
23,"[11.737539148452049, 1.0079202924547785, 6.0939087739825]","[0.26621130842249624, 0.001677008536005737, -0.054137445261952376]","[0.4235407759768939, 0.00804871505504217, 1.703544315232619]","[11.0, 1.05, 4.789200000000002]",0.0,0.0,0.0,0.0
24,"[11.49445535690587, 0.9991543439894028, 5.498597917929132]","[-0.2190425192817113, -0.03537587940255247, 0.6407581118528966]","[0.5507511294297329, 0.46256213146746855, -0.4406654165947099]","[11.0, 1.05, 4.191600000000003]",0.0,0.0,0.0,0.0
