ts,dr_pos,dr_vel,dr_acc,sub_pos,goal_force,subj_force,ped_force,obj_force
10,"[9.021142649259334, 0.9830422370159444, 6.005442907646619]","[-0.025193683827672606, 0.14846752248334946, 0.008762834735856852]","[-0.013298017249040867, -1.2513091127774878, 0.01646160670421698]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
11,"[9.016125835199434, 0.9948739830220039, 6.006997136700946]","[-0.03416404125000932, 0.036713204101831175, 0.010379160656098717]","[-0.0064761299815099815, -0.07265055583800806, -0.0006107485282704633]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
12,"[8.980114171099334, 1.010985862414365, 6.017569829928205]","[-0.017148592338406633, 0.008206459606580658, 0.030481259379114608]","[0.0036487636707258075, 0.007818338444511713, 0.04700899899498512]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
13,"[8.958689839811711, 1.0135416478326589, 6.031770215209793]","[0.0003490794470143166, 0.015549705722393944, -0.13836861911886966]","[-0.1407578303437157, -0.11261783845229432, -0.80322072284153]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
14,"[9.319533967867596, 1.0098621697450738, 6.185268596305439]","[-0.04827948541901439, 0.2409001900966692, -1.1429344671879709]","[-0.892790789793596, 0.2664397805286489, -1.817665281399261]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
15,"[10.125380066137085, 1.0031670427985586, 6.673930731252286]","[-0.17722016360405565, -0.0013842421741523522, -0.224038470434967]","[0.4028110975021759, -0.056788646808733634, -0.3573503733189931]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
16,"[10.187665058717034, 1.006089232670796, 6.809156231695518]","[0.02468043000664226, -0.0056753158019458875, -0.18791290166280736]","[-0.09956663431887405, -0.03068908015816177, 0.5096383067401955]","[8.990678915999998, 1.0549999999996043, 7.0]",0.0,0.0,0.0,0.0
17,"[10.043556082049665, 1.006059574001722, 6.910819936926069]","[0.6997759943140247, 0.2278782018763762, -0.45753463937886585]","[2.0147719203379433, 0.6983544385548712, -1.6318265886534622]","[8.383747394304002, 1.05, 7.0]",0.0,0.0,0.0,0.0
18,"[9.21303185392924, 1.0026861769606468, 7.503534274834462]","[0.25792424409883713, -0.026434596793647572, -0.07936551998993285]","[-0.8335845497434158, 0.528666872800558, 1.8299386722545607]","[7.751400000000001, 1.05, 6.999999999999999]",0.0,0.0,0.0,0.0
19,"[8.900111460699483, 1.0025841003291782, 6.7779721582832355]","[0.9001867013276732, -0.09214183512993107, 0.8320875575582566]","[0.2698862881299613, -0.253163397356454, -2.111838834887081]","[7.169400000000002, 1.05, 7.0]",0.0,0.0,0.0,0.0
20,"[8.247806996768414, 1.0087340616532423, 6.765345628551195]","[0.350009386567614, 0.008733952030866422, -0.4844546472557253]","[-0.1953405711999645, -0.08221114475967864, 0.1973966043773978]","[6.581400000000002, 1.05, 7.0]",0.0,0.0,0.0,0.0
21,"[7.9368717505424105, 1.013954446001702, 6.966091212114426]","[0.19980724504196612, -0.005584518323923352, -0.03050328141851098]","[-0.4675848838999741, -0.07822608169610022, 0.0008220773147250837]","[5.987928864000003, 1.05, 7.000071136]",0.0,0.0,0.0,0.0
22,"[7.7081103333292935, 1.0122677245711211, 6.976440750558994]","[0.36782930307073275, 0.004041734273865174, -0.02303446307505686]","[0.12203119742909552, -0.08336076339617807, 0.004113457563053452]","[5.323555093044002, 1.05, 7.072244906956]",0.0,0.0,0.0,0.0
23,"[6.81144619316407, 1.0001425995420414, 7.062695821118594]","[0.9506113424456647, -0.27500575184406467, -0.4089127731193766]","[-2.8439740211554376, 0.3441502151558251, 0.7696108349055097]","[4.934974348252, 1.05, 6.858425651748002]",0.0,0.0,0.0,0.0
