ts,dr_pos,dr_vel,dr_acc,sub_pos,goal_force,subj_force,ped_force,obj_force
11,"[9.015461154605157, 0.981466247448486, 14.00602440397962]","[-0.045593486537471445, 0.16129502422255768, 0.011799171097055325]","[-0.028534982330047365, -0.9493039854240604, 0.02219652471130429]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
12,"[8.965774106170338, 1.0094168409360105, 14.02098539501343]","[-0.02637566351572283, 0.010423945828188104, 0.03599080595517402]","[0.04384293649081425, -0.0015257188478567246, 0.0497166400765664]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
13,"[8.94008974260429, 1.013149522887776, 14.040859327517024]","[0.007682559206870511, 0.001981778449777571, 0.005435454863506538]","[-0.007916251097836273, 0.010545056879347411, -0.022339363884423154]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
14,"[8.936414811879605, 1.015888679104097, 14.041640179535289]","[-0.00031005072982452165, 0.0025942069685431007, 0.008178686331550871]","[0.00547740929294268, 0.0188665530546717, 0.009151264797920347]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
15,"[8.934137019969542, 1.0159361806338183, 14.034354401464501]","[-0.0077786625006620366, -0.0021761206069039227, 0.008136345739090714]","[-0.008984687361185406, -0.022260710220280665, 0.004411888943468487]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
16,"[8.939667173278528, 1.01239808901256, 14.021769237530517]","[-0.0017960643239456847, -0.0029545609498959056, 0.013076820140506429]","[-0.0009236403547667211, -0.016385164275009665, -0.0057175554110198284]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
17,"[8.865775825832644, 1.0065335051119684, 14.011333197416212]","[0.513653013667728, 0.060674936285606176, -0.0020458677757168066]","[1.4514722887049025, -0.4366961270502734, -0.01674730546607009]","[7.4375522645, 1.05, 14.0]",0.0,0.0,0.0,0.0
18,"[8.047981220384832, 0.9992911696450172, 13.956321049289983]","[1.2141670557382402, 0.1626726094300781, -0.16197710200516502]","[0.9311459599481431, 0.35948494030157985, -1.2621510140574665]","[6.784400000000001, 1.05, 14.0]",0.0,0.0,0.0,0.0
19,"[7.287527246153815, 1.008459408442354, 14.266080901177327]","[0.09570532512703317, -0.00999307950328314, -0.23906963430580425]","[-0.5307126937858786, 0.0645411629540283, 0.685491042493408]","[6.173, 1.05, 14.0]",0.0,0.0,0.0,0.0
20,"[7.025393635373472, 1.0085465044058153, 14.315399492143792]","[0.7620289863031262, 0.006681382860308036, -0.07538412817546966]","[-0.4076097922842692, -0.9879181661468783, 0.09643898303102194]","[5.564000000000003, 1.05, 14.0]",0.0,0.0,0.0,0.0
