ts,dr_pos,dr_vel,dr_acc,sub_pos,goal_force,subj_force,ped_force,obj_force
11,"[12.003343652799886, 0.9786003749970269, 4.02135544046539]","[0.0046099065856842975, 0.16115004699992835, -0.020790996436692702]","[0.020783734728726556, -0.7199692984682649, -0.019618984144768176]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
12,"[12.013710018743105, 1.007385030284132, 3.658154459781169]","[0.023752596853410243, 0.28148094604372137, -1.1503334919656494]","[0.009699630984898178, -0.6771888669134252, -1.9619455178243594]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
13,"[11.912719683990893, 1.0022648517076522, 2.6901842455648035]","[-0.408744067903074, -0.007137235487363849, -0.3782616962243378]","[-0.38091796314954074, -0.6620773749850539, 0.6571134955290492]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
14,"[11.44465094654148, 1.0107174517015785, 2.5348266304102296]","[-0.4827897005883091, 0.10658868485396905, -0.31014230749887745]","[-0.5050174244086714, -1.0983290262844974, 0.11781901701213293]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
15,"[10.788118888110652, 1.0162620385210215, 2.217761926804932]","[-0.9193475799617826, 0.04831035193150334, -0.5195068034658167]","[1.9340524698573391, -0.08372822330518503, 0.9477974362567809]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
16,"[10.430900459858746, 1.0081061283704165, 2.0845605480591582]","[-0.04492860592515811, -0.002143389179917311, 0.14460882199175265]","[0.034974502387485895, -0.09960791675512042, -0.25041733573030744]","[11.0, 1.0549999999996043, 3.0112615211520004]",0.0,0.0,0.0,0.0
17,"[10.462291830534125, 1.0061469411277244, 2.210577349697486]","[-0.01680515821939878, -0.004415569888511201, 0.19799518523753581]","[-0.007493876322359205, 0.1566074853702193, 1.88227536654062]","[11.0, 1.05, 3.6638392319999995]",0.0,0.0,0.0,0.0
18,"[10.702446816347503, 1.004866927394351, 2.769921969290408]","[0.03139896001017173, -0.025482203276972187, 0.567250240853352]","[-0.057064612203797105, -0.36494656208679865, 0.6442270946926953]","[11.0, 1.05, 4.286399999999999]",0.0,0.0,0.0,0.0
19,"[10.776670087941266, 1.0103664109796417, 3.4120996806312576]","[-0.12419574848437492, -0.055758468599751095, 0.4773880920547423]","[0.5229532795126279, 0.5435565735539133, -1.0041142811373915]","[11.0, 1.05, 4.826399999999999]",0.0,0.0,0.0,0.0
20,"[10.883082067129422, 1.0141250979725176, 3.7327221780108824]","[-0.01566441333952512, -0.002004847235321517, 0.1848970569779224]","[-0.8108272255131499, 0.10793546440792376, -0.36117649342118363]","[11.0, 1.05, 5.399999999999998]",0.0,0.0,0.0,0.0
21,"[10.667389030366357, 1.0108721693544935, 3.989475854244188]","[-0.11506435570615747, -0.01969693773930633, 0.25039830441375527]","[0.41061998650093745, 0.12129821118589054, -0.46665149527519434]","[10.999999999999998, 1.05, 6.0029999999999974]",0.0,0.0,0.0,0.0
22,"[10.82402076219178, 1.0019699428990005, 4.593489683287357]","[-0.18519383916283275, 0.037570392275707076, 1.1528541150346683]","[-0.08722535543426169, -0.0644182720801953, -0.7630799305731184]","[11.0, 1.05, 6.636599999999998]",0.0,0.0,0.0,0.0
