ts,dr_pos,dr_vel,dr_acc,sub_pos,goal_force,subj_force,ped_force,obj_force
10,"[2.017807568317954, 0.9739054326300737, 1.0042737313501415]","[-0.03953935364718011, 0.17757549778548823, 0.00807585634688642]","[0.004651737791371013, -0.4859918545740971, 0.015766246618659913]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
11,"[2.0175644174866822, 0.974959374693622, 1.0043217133249587]","[-0.03951577995295389, 0.17466897457140965, 0.008173776265566918]","[0.0031676885177689407, -0.48238906675937554, 0.016824149621346915]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
12,"[1.9551837382675714, 1.0055106981690367, 0.9540216684563888]","[-0.26004521667314057, 0.08748364232041717, -0.20433660452606286]","[-2.2005539233833638, 0.7190041656366386, -1.1558887533302808]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
13,"[1.2877905397063538, 1.0048523448421387, -0.989933642690825]","[-2.6864319191562265, -0.007467723817542564, -0.974047111756272]","[0.45822442727949664, -6.067707833484557, 1.3540075655504857]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
14,"[1.0680362777515964, 0.9926388497278049, -2.463730284436966]","[-0.3306055645654057, -0.07036180529656948, -0.05727835273488821]","[1.245487737230322, 0.32931302638912474, 0.24209434759320247]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
15,"[1.059223966338976, 1.0007132026548053, -2.370298643091654]","[0.4750624548841752, 0.037807622533216415, -0.0027206168030435574]","[-0.879748258909463, -0.11840616132807388, -0.021717562733697404]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
16,"[1.0525229099462112, 1.0117641782654072, -2.162596798743426]","[0.13327071189227507, 0.00952155072474696, -0.012351277523629883]","[0.4545423821337713, -0.0052232118616258455, 0.04217753577001604]","[1.0, 1.0549999999996043, 0.04023519254399942]",0.0,0.0,0.0,0.0
17,"[1.0420152100228068, 1.0097565448100208, -1.7344586354194829]","[0.4888828645918665, 0.04575023038855017, 0.00919151391274764]","[0.977546283516928, -0.07416196701598432, -0.016977862838690738]","[1.0, 1.05, 0.5763994694999995]",0.0,0.0,0.0,0.0
18,"[1.0713695183452638, 1.0001929066177675, -0.7863029654067941]","[1.546450439948988, 0.21423992404713585, -0.006965891070058405]","[1.022073777039889, -0.10143614352511876, -0.015594536444951679]","[0.9769678962120001, 1.05, 1.2704321037879993]",0.0,0.0,0.0,0.0
19,"[1.1049434797035, 1.008485051641393, 0.18682644091676703]","[0.09028140672028433, 0.008353952640262237, -0.003643881612000202]","[0.5731375926749382, 0.10713485629394205, 0.005069689982116488]","[0.9407210718719998, 1.05, 1.8856789281279993]",0.0,0.0,0.0,0.0
20,"[1.133966392633666, 0.9997771711933316, 0.9914485809925518]","[1.1541045976875455, 0.010639108883606738, -0.12192846409710856]","[-0.31932968438042053, 0.4543195938499292, -1.2959793127519381]","[1.3980513679999986, 1.05, 2.019948632]",0.0,0.0,0.0,0.0
21,"[1.4718559374270506, 1.0149960461924599, 1.4923253073878355]","[0.05250101780299343, 0.07761416288027924, -0.39659234336076044]","[-0.2563373606498387, 0.3859865157410519, -1.7063385061779623]","[2.0067108740359987, 1.05, 2.0070891259639985]",0.0,0.0,0.0,0.0
22,"[2.519972125510544, 1.0119295741313041, 1.3213528508294108]","[-0.1278115113010474, -0.1664920931443071, -0.8375685170030269]","[-0.47538128303376004, 0.42211036758249554, 2.2166000820101894]","[2.0445023828480005, 1.05, 2.577097617151998]",0.0,0.0,0.0,0.0
23,"[2.842757859999611, 0.9999476006720035, 1.7378125437798275]","[1.0212787978600861, 0.13099770473381522, -0.060237690330432914]","[1.2702961756458908, -0.4026764094743618, 0.34742610145888086]","[2.0, 1.05, 3.209599999999996]",0.0,0.0,0.0,0.0
