ts, 0.17665552749409147," -0.07286136476283278]""","[0.024006288851612795, -0.45755657896134894, -0.06610659373451622]","[0.0, 1.05, 0.0]",0.0,0.0.1,0.0.2,0.0.3
11,"[13.007807054959319, 0.9785725381623347, 9.010197418392533]","[0.01630170285728341, 0.17665552749409147, -0.07286136476283278]","[0.024006288851612795, -0.45755657896134894, -0.06610659373451622]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
12,"[13.017246815561027, 0.6307343103868139, 8.949872311534781]","[-0.00425032265907252, -0.481261381011501, -0.013153861296097982]","[-0.022640802697966242, 0.2801540731784402, 0.06460141530352168]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
