ts,dr_pos,dr_vel,dr_acc,sub_pos,goal_force,subj_force,ped_force,obj_force
11,"[10.006189080504791, 0.9769778598446247, 13.017252676217279]","[0.011305531215479997, 0.16903860014296704, -0.04100743086941405]","[0.008672176344809782, -0.4698546245466284, 0.007127139955397099]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
12,"[10.014168145627123, 1.0084023619731313, 12.590283007973746]","[-0.06573574206879464, 0.30704236312541966, -1.243790796065812]","[-0.7054577231611486, 0.44271703777820637, -1.9089510816874267]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
13,"[10.319884730643809, 1.009867980174418, 10.464772071857032]","[-1.303120713835088, -0.0336745248851044, -2.435853744671556]","[0.4776041563128164, -5.469864569887038, 0.8759323985692014]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
14,"[10.89939384299795, 1.001650188264417, 9.059956636815151]","[0.018832560431498585, -0.10071929426824035, -0.33153035928692226]","[0.0954383283743726, 0.535050363338771, 2.363993678662246]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
15,"[10.567383894272515, 0.982433067338726, 9.721663223693612]","[0.7380541967751507, -0.061090366682235275, 1.3420468055804902]","[-0.6481279675066842, -1.6784059425512532, -2.340678832773335]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
16,"[10.437384942103971, 1.0046125746901577, 10.408164462001226]","[0.4315871586712752, 0.14148077514253216, 0.6157246576243061]","[2.2220024505842373, 0.42248217988027914, 0.38057938234070665]","[9.000507873887999, 1.0549999999996043, 11.982259372224]",0.0,0.0,0.0,0.0
17,"[10.846535097567228, 1.0063125486096054, 11.628360848653971]","[1.3153174048595455, -0.007121701777002609, -0.11345836394116326]","[-0.4074551727384357, -0.10958327063506634, 0.37368856771025083]","[9.072920261988, 1.05, 11.354868096024]",0.0,0.0,0.0,0.0
18,"[10.634196160769374, 1.002785537559272, 12.274744569976397]","[0.3535847194718494, -0.008374750562310828, 0.454770374710845]","[-0.28372475719828927, 0.6320959693455613, 0.9104767335125774]","[8.845012482524002, 1.05, 10.932787517476001]",0.0,0.0,0.0,0.0
19,"[10.164795076290504, 1.0128321138706333, 12.217510697868255]","[-0.09734963737571013, 0.033424381895031774, 0.21405566602938014]","[-0.47764848923491365, 0.14509533869669355, 1.1498311348478174]","[8.191474350848, 1.05, 10.986925649151999]",0.0,0.0,0.0,0.0
20,"[9.577504362022953, 1.0004620490844127, 11.460024522232983]","[-0.9448370928094095, -0.10419830220812668, 1.1049256152758906]","[0.6307937182654655, -1.4200780916547167, -1.4769864342649708]","[7.503400000000002, 1.05, 11.0]",0.0,0.0,0.0,0.0
21,"[8.825321219589226, 1.0074351804683406, 10.990176797654748]","[0.10845992436678559, 0.0028045586116745938, 0.7848012534160421]","[0.1251723617811118, 0.18615411624371386, -0.19157768992650315]","[6.991000000000001, 1.05, 11.0]",0.0,0.0,0.0,0.0
22,"[8.199066109484342, 1.0143034750906674, 11.032807046742937]","[0.02971209151368545, -0.0057528970395941785, 0.1775291414495307]","[-0.03747010892934943, 0.1031409274947423, -0.9178496650809609]","[6.391000000000003, 1.05, 11.0]",0.0,0.0,0.0,0.0
23,"[7.962846309447195, 1.01188846933405, 11.045050714450829]","[0.019679955949955363, 0.0759246780708526, 0.626380857736242]","[-0.0036954757762774904, -0.2692544203377091, -0.337877395477415]","[5.758600000000003, 1.05, 11.0]",0.0,0.0,0.0,0.0
