ts,dr_pos,dr_vel,dr_acc,sub_pos,goal_force,subj_force,ped_force,obj_force
11,"(8.019181063538786, 6.006239986893228, 0.9776775128388954)","(-0.04251174623669812, 0.010849827139018569, 0.17161475126060546)","(-0.06797111209443096, 0.023313409499929258, -0.4539304578099479)","(0.0, 0.0, 1.05)",0.0,0.0,0.0,0.0
12,"(8.001444056501734, 6.0105154543859385, 0.9980245549678293)","(-0.05444411895202898, 0.013630104298515543, 0.026378271152095827)","(0.01990662009847266, -0.012090453629457973, -0.030413235375510717)","(0.0, 0.0, 1.05)",0.0,0.0,0.0,0.0
13,"(7.966376402164452, 6.0302618149645655, 1.0102191296115526)","(-0.0388882096338999, 0.20158518639322892, 0.045616884172011686)","(-0.10213416142361431, 1.7543979266572418, 0.4529704774728985)","(0.0, 0.0, 1.05)",0.0,0.0,0.0,0.0
14,"(8.189178148322465, 7.165184008933619, 0.9981668403966296)","(-0.8842200050589386, 1.8879907489114252, 0.4489127840567015)","(-1.3203659445795157, 1.16920308217483, 0.2259493427010928)","(0.0, 0.0, 1.05)",0.0,0.0,0.0,0.0
15,"(9.57176337933518, 8.53837929553065, 0.9908570673003675)","(-0.26717297047532673, 1.4957288169188487, -0.0869878454406087)","(1.2597913125609317, -0.6576626916827699, 0.3132498429414682)","(0.0, 0.0, 1.05)",0.0,0.0,0.0,0.0
16,"(10.80515006535509, 7.612967413422979, 0.9802152824268545)","(0.35542634185033567, 2.23071515168204, 0.528160936325557)","(-0.09579834704492862, 2.040665934446295, -1.0493592800276952)","(9.000125951999998, 5.991620096, 1.0549999999996043)",0.0,0.0,0.0,0.0
17,"(11.410951491008573, 5.831731014869909, 0.9942279222077561)","(1.2885522978363109, 1.2811926667634141, 0.2261245429349031)","(2.822479301534564, -1.3900574488043826, -0.8508975389594498)","(8.9835538955, 4.9854461045, 1.05)",0.0,0.0,0.0,0.0
18,"(10.358093908401887, 4.620611215841331, 0.9992426104972821)","(1.5128848759864915, -0.4240984582265973, 0.015565624711384791)","(-0.6465142620097897, -1.2093738959445544, -0.30474213159422875)","(7.971, 5.0, 1.05)",0.0,0.0,0.0,0.0
19,"(9.60870180570083, 4.730233203076549, 1.015160160101111)","(0.3060074575576777, -0.005342040020921206, 0.015885594943990628)","(0.307805636247549, 0.08492407325711056, -0.11153686733019613)","(6.952000000000003, 5.0, 1.05)",0.0,0.0,0.0,0.0
20,"(8.650651217458558, 4.710303398715028, 0.9996437272018824)","(1.7281115200565935, -0.28646605847127554, 0.3603049290930354)","(1.7102447177006486, -0.2832683740252029, 0.41568434699740253)","(5.989000000000002, 5.0, 1.05)",0.0,0.0,0.0,0.0
21,"(6.551578312483937, 4.833153141981555, 0.9993759120539182)","(1.6956400893789643, -0.56644051559896, -0.19697003627127446)","(-1.8832235152419496, -1.0273168431214064, 1.4278631106274808)","(4.992000000000002, 5.0, 1.05)",0.0,0.0,0.0,0.0
