ts," -0.0025362912490726336]""","[0.0, 1.05, 0.0]",0.0,0.0.1,0.0.2,0.0.3
"[-0.03559146281114733, 0.07986066547985228, 0.005787964618456658]","[-0.05956680044395812, -1.0412958906016734, 0.01229746417515977]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.03565384004737781, 0.07986066547985228, 0.005787964618456658]","[-0.06237723623048197, -1.0242970094554993, 0.012764085888723395]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.03565384004737781, 0.07986066547985228, 0.005800728704345381]","[-0.06237723623048197, -1.0242970094554993, 0.012764085888723395]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.03565384004737781, 0.07883636847039678, 0.005800728704345381]","[-0.06237723623048197, -1.0242970094554993, 0.012764085888723395]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.03571899876414522, 0.07883636847039678, 0.005800728704345381]","[-0.06515871676741197, -1.0075600525758925, 0.0132284856450577]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.03571899876414522, 0.07883636847039678, 0.005813957189990439]","[-0.06515871676741197, -1.0075600525758925, 0.0132284856450577]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.03571899876414522, 0.07782880841782089, 0.005813957189990439]","[-0.06515871676741197, -1.0075600525758925, 0.0132284856450577]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.03578690945443595, 0.07782880841782089, 0.005813957189990439]","[-0.06791069029073171, -0.9915090526814718, 0.01369117073275923]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.03578690945443595, 0.07782880841782089, 0.005827648360723198]","[-0.06791069029073171, -0.9915090526814718, 0.01369117073275923]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.03578690945443595, 0.07683729936513942, 0.005827648360723198]","[-0.06791069029073171, -0.9915090526814718, 0.01369117073275923]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.03585755626675287, 0.07683729936513942, 0.005827648360723198]","[-0.07064681231691572, -0.9748955014552974, 0.014140260032217272]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.03585755626675287, 0.07683729936513942, 0.0058417886207554155]","[-0.07064681231691572, -0.9748955014552974, 0.014140260032217272]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.03585755626675287, 0.07586240386368412, 0.0058417886207554155]","[-0.07064681231691572, -0.9748955014552974, 0.014140260032217272]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.0359309161084874, 0.07586240386368412, 0.0058417886207554155]","[-0.0733598417345313, -0.9580791675884159, 0.01457632042174261]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.0359309161084874, 0.07586240386368412, 0.005856364941177158]","[-0.0733598417345313, -0.9580791675884159, 0.01457632042174261]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.0359309161084874, 0.0749043246960957, 0.005856364941177158]","[-0.0733598417345313, -0.9580791675884159, 0.01457632042174261]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.03600695736148342, 0.0749043246960957, 0.005856364941177158]","[-0.07604125299601888, -0.9413012240720442, 0.015002033167220777]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.03600695736148342, 0.0749043246960957, 0.005871366974344379]","[-0.07604125299601888, -0.9413012240720442, 0.015002033167220777]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.03600695736148342, 0.07396302347202366, 0.005871366974344379]","[-0.07604125299601888, -0.9413012240720442, 0.015002033167220777]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.03608564134159727, 0.07396302347202366, 0.005871366974344379]","[-0.07868398011385419, -0.9248243503238718, 0.015417781785071784]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.03608564134159727, 0.07396302347202366, 0.005886784756129451]","[-0.07868398011385419, -0.9248243503238718, 0.015417781785071784]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.03608564134159727, 0.07303819912169979, 0.005886784756129451]","[-0.07868398011385419, -0.9248243503238718, 0.015417781785071784]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.036166921806944995, 0.07303819912169979, 0.005886784756129451]","[-0.08128046534772171, -0.9089055309229738, 0.01584572844160869]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.036166921806944995, 0.07303819912169979, 0.005902630484571059]","[-0.08128046534772171, -0.9089055309229738, 0.01584572844160869]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.036166921806944995, 0.07212929359077681, 0.005902630484571059]","[-0.08128046534772171, -0.9089055309229738, 0.01584572844160869]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.03625075059946768, 0.07212929359077681, 0.005902630484571059]","[-0.08382879252268743, -0.8926558952871283, 0.016260234111899717]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.03625075059946768, 0.07212929359077681, 0.005918890718682959]","[-0.08382879252268743, -0.8926558952871283, 0.016260234111899717]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.03625075059946768, 0.07123663769548969, 0.005918890718682959]","[-0.08382879252268743, -0.8926558952871283, 0.016260234111899717]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.03633707149443566, 0.07123663769548969, 0.005918890718682959]","[-0.08632089496797557, -0.8763652160683338, 0.016662053267599286]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.03633707149443566, 0.07123663769548969, 0.005935552771950558]","[-0.08632089496797557, -0.8763652160683338, 0.016662053267599286]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.03633707149443566, 0.07036027247942135, 0.005935552771950558]","[-0.08632089496797557, -0.8763652160683338, 0.016662053267599286]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.03642581871129499, 0.07036027247942135, 0.005935552771950558]","[-0.08874721685932924, -0.8602784257395746, 0.01705155317289521]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.03642581871129499, 0.07036027247942135, 0.0059526043251234536]","[-0.08874721685932924, -0.8602784257395746, 0.01705155317289521]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.03642581871129499, 0.06949999405368178, 0.0059526043251234536]","[-0.08874721685932924, -0.8602784257395746, 0.01705155317289521]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.03651692342635433, 0.06949999405368178, 0.0059526043251234536]","[-0.0911047150593397, -0.8446162017530373, 0.01742946431834789]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.03651692342635433, 0.06949999405368178, 0.0059700337894418015]","[-0.0911047150593397, -0.8446162017530373, 0.01742946431834789]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.03651692342635433, 0.06865537785192874, 0.0059700337894418015]","[-0.0911047150593397, -0.8446162017530373, 0.01742946431834789]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.036610315732023224, 0.06865537785192874, 0.0059700337894418015]","[-0.09339230566889761, -0.8296191805246683, 0.01778590545023235]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.036610315732023224, 0.06865537785192874, 0.005987819694892034]","[-0.09339230566889761, -0.8296191805246683, 0.01778590545023235]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.036610315732023224, 0.06782575867140407, 0.005987819694892034]","[-0.09339230566889761, -0.8296191805246683, 0.01778590545023235]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.0367059216407394, 0.06782575867140407, 0.005987819694892034]","[-0.0956059087161773, -0.8143657209379873, 0.01813215129928096]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.0367059216407394, 0.06782575867140407, 0.006005951846191315]","[-0.0956059087161773, -0.8143657209379873, 0.01813215129928096]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.0367059216407394, 0.06701139295046608, 0.006005951846191315]","[-0.0956059087161773, -0.8143657209379873, 0.01813215129928096]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.03680366090467567, 0.06701139295046608, 0.006005951846191315]","[-0.09773926393626814, -0.7991168862674092, 0.018468458643295868]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.03680366090467567, 0.06701139295046608, 0.006024420304834611]","[-0.09773926393626814, -0.7991168862674092, 0.018468458643295868]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.03680366090467567, 0.06621227606419867, 0.006024420304834611]","[-0.09773926393626814, -0.7991168862674092, 0.018468458643295868]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.04260053259479551, 0.06621227606419867, 0.006024420304834611]","[-0.012586446857393296, -0.25704289574209754, 0.018728705889774558]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.04260053259479551, 0.06621227606419867, 0.007466976299883729]","[-0.012586446857393296, -0.25704289574209754, 0.018728705889774558]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.04260053259479551, 0.03567347142840091, 0.007466976299883729]","[-0.012586446857393296, -0.25704289574209754, 0.018728705889774558]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.042609724507517016, 0.03567347142840091, 0.007466976299883729]","[-0.009191912721508155, -0.2525517993198431, 0.01850522093213916]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.042609724507517016, 0.03567347142840091, 0.007485481520815868]","[-0.009191912721508155, -0.2525517993198431, 0.01850522093213916]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.042609724507517016, 0.03542091962908107, 0.007485481520815868]","[-0.009191912721508155, -0.2525517993198431, 0.01850522093213916]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.04261553711116508, 0.03542091962908107, 0.007485481520815868]","[-0.005812603648062964, -0.248196891327164, 0.01831600606692907]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.04261553711116508, 0.03542091962908107, 0.007503797526882797]","[-0.005812603648062964, -0.248196891327164, 0.01831600606692907]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.04261553711116508, 0.0351727227377539, 0.007503797526882797]","[-0.005812603648062964, -0.248196891327164, 0.01831600606692907]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.04261798005156752, 0.0351727227377539, 0.007503797526882797]","[-0.002442940402441751, -0.2439109390451888, 0.018115510355513897]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.04261798005156752, 0.0351727227377539, 0.007521913037238311]","[-0.002442940402441751, -0.2439109390451888, 0.018115510355513897]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.04261798005156752, 0.034928811798708714, 0.007521913037238311]","[-0.002442940402441751, -0.2439109390451888, 0.018115510355513897]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.042617073779730896, 0.034928811798708714, 0.007521913037238311]","[0.0009062718366245615, -0.23973613944426597, 0.017905524289920857]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.042617073779730896, 0.034928811798708714, 0.007539818561528232]","[0.0009062718366245615, -0.23973613944426597, 0.017905524289920857]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.042617073779730896, 0.03468907565926445, 0.007539818561528232]","[0.0009062718366245615, -0.23973613944426597, 0.017905524289920857]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.042612847506208223, 0.03468907565926445, 0.007539818561528232]","[0.0042262735226727965, -0.2356894228801032, 0.01768814659256889]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.042612847506208223, 0.03468907565926445, 0.007557506708120801]","[0.0042262735226727965, -0.2356894228801032, 0.01768814659256889]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.042612847506208223, 0.034453386236384345, 0.007557506708120801]","[0.0042262735226727965, -0.2356894228801032, 0.01768814659256889]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.04260533813260288, 0.034453386236384345, 0.007557506708120801]","[0.007509373605343872, -0.23185212105295006, 0.017463279590815457]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.04260533813260288, 0.034453386236384345, 0.0075749699877116165]","[0.007509373605343872, -0.23185212105295006, 0.017463279590815457]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.04260533813260288, 0.034221534115331395, 0.0075749699877116165]","[0.007509373605343872, -0.23185212105295006, 0.017463279590815457]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.04259458459864134, 0.034221534115331395, 0.0075749699877116165]","[0.010753533961536943, -0.22813094063121875, 0.01725348567549294]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.04259458459864134, 0.034221534115331395, 0.007592223473387109]","[0.010753533961536943, -0.22813094063121875, 0.01725348567549294]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.04259458459864134, 0.033993403174700176, 0.007592223473387109]","[0.010753533961536943, -0.22813094063121875, 0.01725348567549294]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.04258062039592746, 0.033993403174700176, 0.007592223473387109]","[0.013964202713885598, -0.22441552472798193, 0.01703961308133564]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.04258062039592746, 0.033993403174700176, 0.007609263086468445]","[0.013964202713885598, -0.22441552472798193, 0.01703961308133564]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.04258062039592746, 0.033768987649972194, 0.007609263086468445]","[0.013964202713885598, -0.22441552472798193, 0.01703961308133564]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.04256348607611633, 0.033768987649972194, 0.007609263086468445]","[0.01713431981112401, -0.22078628861933042, 0.01682155467617758]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.04256348607611633, 0.033768987649972194, 0.007626084641144623]","[0.01713431981112401, -0.22078628861933042, 0.01682155467617758]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.04256348607611633, 0.033548201361352864, 0.007626084641144623]","[0.01713431981112401, -0.22078628861933042, 0.01682155467617758]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.042543228061862705, 0.033548201361352864, 0.007626084641144623]","[0.02025801425362822, -0.21723364353748442, 0.01660156766336053]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.042543228061862705, 0.033548201361352864, 0.007642686208807983]","[0.02025801425362822, -0.21723364353748442, 0.01660156766336053]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.042543228061862705, 0.03333096771781538, 0.007642686208807983]","[0.02025801425362822, -0.21723364353748442, 0.01660156766336053]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.04251990464204923, 0.03333096771781538, 0.007642686208807983]","[0.023323419813474355, -0.21383507572744764, 0.01638027413099121]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.04251990464204923, 0.03333096771781538, 0.007659066482938974]","[0.023323419813474355, -0.21383507572744764, 0.01638027413099121]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.04251990464204923, 0.03311713264208793, 0.007659066482938974]","[0.023323419813474355, -0.21383507572744764, 0.01638027413099121]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.04249357152265592, 0.03311713264208793, 0.007659066482938974]","[0.026333119393311122, -0.2104604197182905, 0.016189068075735807]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.04249357152265592, 0.03311713264208793, 0.00767525555101471]","[0.026333119393311122, -0.2104604197182905, 0.016189068075735807]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.04249357152265592, 0.03290667222236964, 0.00767525555101471]","[0.026333119393311122, -0.2104604197182905, 0.016189068075735807]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.04246426408185453, 0.03290667222236964, 0.00767525555101471]","[0.029307440801387696, -0.2071495646628202, 0.015999686844473705]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.04246426408185453, 0.03290667222236964, 0.007691255237859184]","[0.029307440801387696, -0.2071495646628202, 0.015999686844473705]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.04246426408185453, 0.03269952265770682, 0.007691255237859184]","[0.029307440801387696, -0.2071495646628202, 0.015999686844473705]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.04243202953043441, 0.03269952265770682, 0.007691255237859184]","[0.03223455142012388, -0.20390542024863179, 0.015813710470557324]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.04243202953043441, 0.03269952265770682, 0.007707068948329741]","[0.03223455142012388, -0.20390542024863179, 0.015813710470557324]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.04243202953043441, 0.03249561723745819, 0.007707068948329741]","[0.03223455142012388, -0.20390542024863179, 0.015813710470557324]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.04239692338372874, 0.03249561723745819, 0.007707068948329741]","[0.03510614670566847, -0.20077518665483074, 0.015630820562826005]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.04239692338372874, 0.03249561723745819, 0.007722699768892567]","[0.03510614670566847, -0.20077518665483074, 0.015630820562826005]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.04239692338372874, 0.03229484205080336, 0.007722699768892567]","[0.03510614670566847, -0.20077518665483074, 0.015630820562826005]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.042359005039035065, 0.03229484205080336, 0.007722699768892567]","[0.03791834469367428, -0.1977771141878984, 0.015450806131133386]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.042359005039035065, 0.03229484205080336, 0.007738150575023701]","[0.03791834469367428, -0.1977771141878984, 0.015450806131133386]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.042359005039035065, 0.03209706493661546, 0.007738150575023701]","[0.03791834469367428, -0.1977771141878984, 0.015450806131133386]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.042318345908905375, 0.03209706493661546, 0.007738150575023701]","[0.04065913012969019, -0.1949060942689207, 0.015264417749484387]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.042318345908905375, 0.03209706493661546, 0.007753414992773185]","[0.04065913012969019, -0.1949060942689207, 0.015264417749484387]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.042318345908905375, 0.03190215884234654, 0.007753414992773185]","[0.04065913012969019, -0.1949060942689207, 0.015264417749484387]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.04227501584971235, 0.03190215884234654, 0.007753414992773185]","[0.04333005919302663, -0.191994379478512, 0.015081368878798289]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
