ts," 5.009289707160122]""","[0.018068599036512818, 0.16884461815833862, -0.07998420416390836]","[0.03639114182848319, -0.6565329712784618, -0.11133336588306508]","[0.0, 1.05, 0.0]",0.0,0.0.1,0.0.2,0.0.3
11,"[9.006427798152316, 0.9802500479750741, 5.009289707160122]","[0.018068599036512818, 0.16884461815833862, -0.07998420416390836]","[0.03639114182848319, -0.6565329712784618, -0.11133336588306508]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
12,"[9.024982675582468, 0.6779952074876479, 4.931185684162712]","[-0.00021384090205235493, -0.5001449560199172, -0.00557916854035026]","[-0.04916426190630825, 0.2392397108839095, 0.16504413758407568]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
13,"[9.012697587723904, 0.2746250084444155, 4.980421695293785]","[-0.013519015423806345, -0.3037859835918008, 0.06510045480298393]","[0.0037893536414482926, 0.019204315586440757, 0.022366361490930298]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
