ts,dr_pos,dr_vel,dr_acc,sub_pos,goal_force,subj_force,ped_force,obj_force
11,"(4.0214960960444515, 9.004787124807931, 0.9768882322819286)","(-0.020567236119900287, 0.0057229690216263705, 0.17848829734224878)","(0.043614111134113176, 0.003061556168088529, -0.4790098859119851)","(0.0, 0.0, 1.05)",0.0,0.0,0.0,0.0
12,"(3.9689382202502554, 9.051769189547885, 1.0094439839868734)","(-0.08125060359123287, 0.316374701103553, 0.06759886686745616)","(-0.16107254535145665, 1.6992968586488355, 0.3796225232888112)","(0.0, 0.0, 1.05)",0.0,0.0,0.0,0.0
13,"(4.053307975802374, 9.92434770234558, 1.0066282033161853)","(-0.2622590737353014, 0.3716838437978341, -0.09243161830103795)","(0.4560911824239011, -2.1289328985241163, 0.6237599158715329)","(0.0, 0.0, 1.05)",0.0,0.0,0.0,0.0
14,"(4.213765061983536, 10.230010250404797, 1.0080838288567546)","(-0.31393672652000304, 0.8411107114797405, 0.1791546601253284)","(-0.5785386576150353, 1.5822256523824185, 0.3248607972484996)","(0.0, 0.0, 1.05)",0.0,0.0,0.0,0.0
15,"(5.160759591719258, 10.669158372861666, 1.0029952758723637)","(-0.13086447539258086, -0.14958617743027558, 0.00754552650315804)","(0.12489905410456581, -1.5063775491266085, 0.05903847082155446)","(0.0, 0.0, 1.05)",0.0,0.0,0.0,0.0
16,"(5.125671819670208, 10.726921740284254, 1.0058763578269367)","(-0.011037124065774229, 0.07739001673578964, 0.01010290132812779)","(0.06748208011189694, -0.03393836081967694, -0.022315584646378367)","(5.016222033691999, 9.0, 1.0549999999996043)",0.0,0.0,0.0,0.0
17,"(5.030475867088462, 10.667216953254487, 1.0090378039440075)","(0.4175018239317879, -0.17944718763677323, 0.07351979955808177)","(1.7218205268553222, -0.2129746665462673, 0.31984398378247236)","(5.572909484, 9.0, 1.05)",0.0,0.0,0.0,0.0
18,"(4.878307811210694, 9.66256222945394, 1.0006786712388027)","(0.7301025259378449, -0.7994368809689449, -0.08968993546941194)","(-0.8158470520988059, 0.8883908615036074, -0.8436808073871288)","(6.219799999999999, 9.0, 1.05)",0.0,0.0,0.0,0.0
19,"(5.54720853836565, 9.042142354042364, 0.9975620894854543)","(1.4841123160892968, -0.22042472602888508, 0.03551590695135447)","(0.07036931214421394, -0.05836071675160981, -2.4026587716351675)","(6.826399999999999, 9.0, 1.05)",0.0,0.0,0.0,0.0
20,"(6.436069146086365, 8.85146360584837, 1.00500977409736)","(0.4533953827786328, 0.2222661621551457, 0.0022425068434949675)","(-0.9680345240967725, 1.0741750750580537, -0.22691444625781187)","(7.468844684, 9.050844684, 1.05)",0.0,0.0,0.0,0.0
21,"(6.450630937227367, 9.123835461151888, 1.01575544051718)","(0.2739718476526314, 0.4001283631933789, 0.05128926460130747)","(1.931693355754549, 0.2606812345425924, 0.22334155047583348)","(8.002377015295998, 8.997577015296004, 1.05)",0.0,0.0,0.0,0.0
22,"(7.070035895767625, 9.246841664611095, 1.007546504222107)","(0.3329643795960952, -0.0013324070824388412, 0.03426033516540079)","(0.5929505914186173, 0.0582765240740718, 0.31440996804186355)","(8.047615430912, 8.445215430912002, 1.05)",0.0,0.0,0.0,0.0
23,"(7.297630971963209, 9.045987995595288, 1.0140016897847717)","(0.09125057191263962, 0.0087787815913963, 0.005361812180114038)","(-0.20329299209968787, 0.37831964876479385, 0.014561219328151735)","(8.0, 7.770600000000003, 1.05)",0.0,0.0,0.0,0.0
24,"(7.56675332908156, 8.763232644406273, 1.0932914306860069)","(0.4405102377268359, 0.37473721401519544, -0.013877899114209908)","(-0.6502455277397345, 0.2083765294247919, -0.34368188061881244)","(8.0, 7.187400000000003, 1.05)",0.0,0.0,0.0,0.0
