ts,dr_pos,dr_vel,dr_acc,sub_pos,goal_force,subj_force,ped_force,obj_force
10,"[1.0061943915821052, 0.9800350463637953, 2.021628419696588]","[0.008725077930182514, 0.16867076884608806, -0.02712479889245022]","[0.016681774464040802, -0.6029479584861996, -0.0005584079269260744]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
11,"[1.0080983435298196, 0.9951480276394864, 2.0155303016249895]","[0.012670594990258424, 0.03698397512678959, -0.03949446106323877]","[0.026007714742343202, -0.14473345495918943, -0.05737234489269771]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
12,"[0.43760050371003034, 1.009505494445991, 1.5396937677006466]","[-0.8013459952931647, 0.5175359746575602, -1.484581107811778]","[-0.7346843154620863, 0.5768531651750841, -2.4453338098902044]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
13,"[-0.6214369183151985, 0.9940830199391627, 0.956586916372184]","[0.044800583765341476, -0.03867950590237401, -0.07851110658410732]","[0.1860020745802632, 0.24711399498549003, 0.86748995944258]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
14,"[-0.6735926798836477, 1.0082699700882254, 0.8978421304542552]","[0.043285615975239465, 0.017997220818452675, -0.05267148661900503]","[-0.03914064424965363, -0.03997886513250337, 0.10804021041059542]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
15,"[-0.9366061223363293, 1.0186226597913879, 0.856495528574395]","[0.016582340819077807, -0.05355196474563541, -0.5059783780699806]","[-0.046009990401330025, 0.05262592969924179, 1.311569485079045]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
16,"[-1.0901664661301835, 1.0115655168076607, 0.8482272770733004]","[-0.007796901122758729, -0.005210893525773056, -0.07063701369262759]","[0.010052274956040552, 0.009508790104435956, 0.04200913474208812]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
17,"[-1.1063457187941792, 1.0495198716784022, 0.8489138186524953]","[0.004477229289002724, 0.022360323457750766, 0.17503283177480017]","[0.023337133891701556, 0.22799633416360765, 1.1804342453552719]","[0.0, 1.05, 1.5847803111159997]",0.0,0.0,0.0,0.0
18,"[-0.6283991206603378, 1.173548857551208, 1.2599841759252353]","[-0.5314149539439776, 0.550496154998827, 0.6588752192352305]","[-0.8213103026087909, -1.9390512965106188, -0.937316591786086]","[0.0, 1.05, 2.205399999999999]",0.0,0.0,0.0,0.0
19,"[-0.6856802127298419, 1.2475066938986428, 1.854467226416572]","[-0.9278407522807923, 0.17721762714531106, 0.4704365822462987]","[-0.9417636078834501, 0.05592969480111565, 1.309647402752634]","[0.0, 1.05, 2.8365999999999985]",0.0,0.0,0.0,0.0
20,"[-0.5367381210741848, 1.246787281592854, 2.9892623158882947]","[0.04871365567931232, -0.08755651369741284, 0.5901222360778408]","[2.063351888719894, 0.5110692018056168, -1.7566700068368801]","[-0.049904735999999686, 1.05, 3.4619047359999975]",0.0,0.0,0.0,0.0
21,"[-0.3496086125942991, 1.2537765801087584, 3.0808759893108886]","[-0.22922386143645057, 0.06497735568562939, 0.3078704009154904]","[-0.9210598245529278, -0.1407290302094938, 0.95994217953288]","[0.008360314235999186, 1.05, 4.007839685763999]",0.0,0.0,0.0,0.0
22,"[-0.1001057995051033, 1.252961322407928, 3.6652848430231733]","[-0.20477723296567665, -0.04153388309279083, 0.3202438705099243]","[0.5720321410674356, 0.3169496084487883, -1.2883393849404956]","[0.587575309691996, 1.05, 4.043024690308001]",0.0,0.0,0.0,0.0
23,"[0.03635891248029049, 1.256831339885106, 3.7618603377898445]","[-0.024519177242235124, -0.012835295030946688, 0.31592155090275126]","[-1.0309580053537992, 0.11506433402354646, 0.7230101405509837]","[1.2713999999999968, 1.05, 4.0]",0.0,0.0,0.0,0.0
24,"[0.32445246114780396, 1.0550059120548063, 3.9374467989998485]","[-0.10516405962059089, -0.13004939864175477, 0.525007226330385]","[-0.22706274351530498, 1.8808482095226329, 1.8052245139194012]","[1.8293999999999961, 1.05, 4.0]",0.0,0.0,0.0,0.0
