ts,dr_pos,dr_vel,dr_acc,sub_pos,goal_force,subj_force,ped_force,obj_force
11,"[6.019786391761636, 0.981193536991797, 6.004329900060407]","[-0.03848895115142348, 0.1596655460147702, 0.007986572251372798]","[-0.04667758392766508, -0.9488224021615421, 0.021511640069162702]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
12,"[5.694054907618324, 1.009372226562202, 6.012537780664668]","[-1.0764351276577875, 0.2457254704457569, 0.018787920105812747]","[-0.9180274625146811, -1.9749450421823744, -0.000942325748248124]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
13,"[5.069677281648891, 1.004493730636401, 5.997508119738669]","[-0.25826716845067293, 0.03391163565536579, -0.02002280699835493]","[-1.3953264059366477, 0.5136560308456883, 0.02247808194007217]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
14,"[4.405866311158632, 1.0130168610580212, 6.070774950243562]","[-0.3753283195199757, 0.09247415578689633, 0.5648323122678107]","[0.17305230814601558, 0.567798793661714, 1.5004272895400295]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
15,"[4.093019336710591, 1.003898682799811, 7.037096626865016]","[0.04870800445271938, -0.09115743202618665, 0.37021430657458626]","[-0.43135965298423534, 0.5192836727077044, -2.1962592462812514]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
16,"[4.075023317346399, 1.0072369665757614, 7.116262228229838]","[0.010508016060747343, 0.0040978477248279814, 0.03034876322924299]","[-0.0013113394220741481, 0.08147081572288609, -1.1250784230760238]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
17,"[4.155833455567359, 1.0090249817007921, 7.0177478910092415]","[0.4262609334258725, 0.0880181105584538, -0.2303654027898056]","[2.065881870108255, 0.31388745666538487, -0.05634171424553913]","[5.628851851999999, 1.05, 7.0]",0.0,0.0,0.0,0.0
18,"[5.22928339597196, 1.0019068138802303, 6.911240543884986]","[0.628961559835448, -0.1420341761421784, -0.33428622648109285]","[-2.2608524872842484, 0.527965869257907, 0.7897046500390248]","[6.210199999999999, 1.05, 7.0]",0.0,0.0,0.0,0.0
19,"[5.50760557406371, 1.0126692090845755, 6.807429439465871]","[0.4769342258150101, 0.10773710438829505, -0.4454916826192209]","[0.9780565162123556, 0.7277561778925301, -1.2469620825452665]","[6.8126, 1.05, 7.0]",0.0,0.0,0.0,0.0
20,"[6.3653685982915915, 1.009395742334977, 6.503635735970367]","[0.18816367793943087, -0.016866517855078516, -0.14237477528032488]","[-1.073459940720639, 0.43259403162044724, 0.6922395180467555]","[7.403599999999998, 1.05, 7.0]",0.0,0.0,0.0,0.0
