ts,dr_pos,dr_vel,dr_acc,sub_pos,goal_force,subj_force,ped_force,obj_force
11,"[6.00507281200652, 0.9798037489395761, 2.0215293098108167]","[0.006445896238746235, 0.17083002464959188, -0.028058621440653592]","[0.01394461776607625, -0.5423686253077931, -0.025899926417768254]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
12,"[5.957622580927824, 1.009185446423525, 1.9978569056395938]","[-0.3993188984340701, 0.0891109984027708, -0.07514319630750638]","[-1.7757380431771552, 0.24445182010526811, -0.32967248091267387]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
13,"[5.636126486461778, 1.01038962360988, 2.0999702640059117]","[-0.23793303060584012, 0.029799899888859747, -0.0629788502776987]","[-1.0103006338688658, -0.14305436997225432, -0.10659041752941745]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
14,"[5.635033594082878, 1.0103498475923074, 2.353553573451253]","[-0.5035078174071522, 0.04444968764157768, 0.1927868801298197]","[-0.5037276959372061, -0.600249149223915, -0.3042463333009504]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
15,"[5.613578899540584, 1.0144424370685527, 2.600717252387035]","[-0.08356074656717366, 0.0003419054873757421, 0.02323529996261467]","[0.028067003998169526, -0.021482945528725542, -0.011855079654544964]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
16,"[5.611940889748559, 1.0127414190432722, 2.6508284634926493]","[-0.013073254548767517, -0.0020295201604758604, 0.005534210644062784]","[0.036882035671186725, -0.015795113843472715, -0.01646587347029372]","[7.0, 1.0549999999996043, 3.0027290812680003]",0.0,0.0,0.0,0.0
17,"[5.612802743934403, 1.010308581050417, 2.657344032337336]","[-7.601994762242116e-05, 0.0007129125376728928, 0.0010191558352185789]","[0.015135236480538165, 0.007398693644865544, -0.0021744431142945754]","[7.0, 1.05, 3.551999999999999]",0.0,0.0,0.0,0.0
18,"[5.722561290286499, 1.0091482966141927, 2.6982824522723656]","[0.034463166340598386, 0.009498435617734564, 0.20452377874234112]","[0.14419212747596166, 0.32329645217379216, 1.5949722472167194]","[7.0, 1.05, 4.245599999999999]",0.0,0.0,0.0,0.0
19,"[6.522862470982188, 0.9952002044684731, 3.397704477894409]","[0.2836540338591072, -0.013995644992015954, 1.4303460799159358]","[-0.1672394305203273, -0.5699925915373435, -0.4316471259886434]","[7.0, 1.05, 4.808399999999998]",0.0,0.0,0.0,0.0
20,"[7.1331744712782745, 1.004648086670518, 4.459092238160226]","[-0.224435095224408, -0.13992421235795136, 1.0275912588304406]","[0.06428638357119931, 0.5115176482538286, -2.145912042195275]","[7.0, 1.05, 5.460599999999997]",0.0,0.0,0.0,0.0
