ts,dr_pos,dr_vel,dr_acc,sub_pos,goal_force,subj_force,ped_force,obj_force
11,"[10.021374714028113, 0.975239394880111, 6.0039228409395955]","[-0.03134018372544015, 0.17410807430109757, 0.006933068625237491]","[0.020351297836097848, -0.47520205479750777, 0.00705685753188065]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
12,"[10.021215744828263, 0.9761024468617274, 6.003956230100059]","[-0.031239215546321596, 0.17175556076266524, 0.006967070852633889]","[0.02002899472305572, -0.46587302017034316, 0.0065427042823347145]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
13,"[10.404873355962048, 0.9934054991058245, 6.0165443516456705]","[1.1732220814561785, 0.03883775178238701, 0.0028891843046829502]","[0.31095354436372347, -2.0156275427658175, -0.0153569958556872]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
14,"[11.053247462164473, 1.010103263139354, 6.0354185905803215]","[0.4079829498286819, 0.07895156190187493, 0.015098270654844089]","[1.9123989166567323, 0.4121830966096196, -0.0010494989561519313]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
15,"[11.742598953463569, 1.0139508806775666, 6.076724366765813]","[0.38336841606764993, -0.014846003550160218, 0.021929390780448095]","[-0.7593701163906008, 0.0004930968249099166, -0.09985288864337166]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
16,"[11.901113512045015, 1.0176555326722656, 6.099734661101284]","[0.06962387915469458, -0.0028413974873836875, -0.04239640357362512]","[-0.099485383042483, -0.0385067290599346, -0.00672070903861427]","[11.0001108125, 1.0549999999996043, 5.992165875]",0.0,0.0,0.0,0.0
17,"[11.930437141260942, 1.014402470768125, 6.110156284845994]","[0.0005271830113182862, -0.001977849881605827, 0.008040965577787473]","[-0.041871704316000236, -0.014872124562196037, 0.022998909678377533]","[11.073249982496, 1.05, 5.345462515008]",0.0,0.0,0.0,0.0
18,"[11.545399305311365, 1.0070047433387441, 5.364089488592244]","[-0.663649931912682, -0.2993913800113267, 1.3452916960727952]","[1.0945386713177019, -1.5190769386050906, -2.4647999795244235]","[10.863495748107999, 1.05, 4.935904251892]",0.0,0.0,0.0,0.0
19,"[11.382260130957038, 0.9978135838990623, 5.032108250468367]","[0.06725517581769686, 0.015125003211805127, 0.03082765034736608]","[0.6733272807836338, 0.05937335514721864, 0.3314542335885288]","[10.205074874368004, 1.05, 4.9853251256319995]",0.0,0.0,0.0,0.0
20,"[11.110006212378398, 1.0073857565060234, 5.076240959958375]","[0.4974242377143722, -0.0019411856455151515, -0.13572685397080445]","[-0.15234187856266734, 0.26045322601444315, 0.2371876378718385]","[9.577200000000001, 1.05, 5.0]",0.0,0.0,0.0,0.0
21,"[10.55114811950328, 1.0088625225175298, 4.905079433907022]","[0.8471709701800956, 0.17552468026388, 0.4389936177870436]","[1.9667047251541447, 0.18721662187135002, -0.12477004267708036]","[8.961000000000002, 1.05, 5.000000000000001]",0.0,0.0,0.0,0.0
22,"[9.380066058724388, 1.0039145593194136, 5.025136335175883]","[0.5245992230606851, -0.13535108726883086, -0.36244245399414327]","[-1.3672432067017293, 0.6436632648596924, 1.5662374247868427]","[8.363400000000002, 1.05, 5.0]",0.0,0.0,0.0,0.0
23,"[8.936728330093638, 1.0069159718772, 4.8308819376150325]","[0.6533975623692806, -0.046966311800826485, 0.23044428758987304]","[-1.0450568554333795, 0.4088665640265693, -1.0950529212380016]","[7.766400000000003, 1.05, 5.0]",0.0,0.0,0.0,0.0
24,"[8.635907909088791, 1.0142187785891812, 4.923776589070431]","[0.23511848193231916, -0.004600619004458014, -0.08842035293057769]","[0.743213252161451, 0.2261053444191502, 0.07464413380492418]","[7.178400000000002, 1.05, 5.0]",0.0,0.0,0.0,0.0
