ts,dr_pos,dr_vel,dr_acc,sub_pos,goal_force,subj_force,ped_force,obj_force
10,"[9.00474776212765, 0.9770256574281541, 9.01412328393697]","[0.01081858420129907, 0.1808502397538358, -0.06096263618659592]","[0.017370079433155425, -0.47653245020604085, -0.037332837827225296]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
11,"[9.004758133805192, 0.9772054744467757, 9.01406057923363]","[0.010835886635325162, 0.18037526919039343, -0.06099965186187436]","[0.017233712245889182, -0.4735098917720282, -0.036688912225572856]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
12,"[9.012737525685345, 1.009304006442633, 8.95811541752874]","[-0.016937360867233367, 0.007877817406075892, -0.044958475714633635]","[-0.06165625875685296, -0.017593370517572995, 0.04857256020703721]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
13,"[8.993251074871369, 1.0196806516545505, 8.929678803055454]","[-0.002838467996492934, 0.024461931601007098, 0.043309477511489204]","[0.04640480562060484, -0.03258556766982945, -0.008901483930123799]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
14,"[8.96533777924401, 1.0346283896603703, 8.90474549038637]","[-0.14828607155582024, 0.015693186891729334, 0.019219509052687794]","[-0.408525772627899, 0.20993885264845857, -0.012804569898036688]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
15,"[8.958339636734966, 1.0370001698884748, 8.803161405976818]","[0.001832113932576525, -0.0018666990092579706, 0.007673503092690099]","[0.010032677034974187, -0.023655537399992592, -0.05034364057853076]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
16,"[8.962345275599695, 1.0326616251811018, 8.799434884796716]","[-0.01012176269407876, -0.004598568903189246, 0.0009135838927616432]","[0.004634800277802248, -0.014015501349122841, 0.012200621411862476]","[8.000057690144, 1.0549999999996043, 8.005573700288]",0.0,0.0,0.0,0.0
17,"[8.965349296375155, 1.0279842994542998, 8.795730828746953]","[-0.0010181446762123473, -0.002520313410204965, -0.004188246168416105]","[0.020718842559636075, 0.014621829044012836, 0.0026612011434553468]","[8.073405549908, 1.05, 8.659583279816]",0.0,0.0,0.0,0.0
18,"[8.962086407981031, 1.0285401410599648, 8.804039405849116]","[0.00946019168156368, 0.0029841589806326894, 0.03083974639156671]","[0.00206929960906016, -0.019986252931290544, 0.5974120296027909]","[7.859443666732, 1.05, 9.064843666732]",0.0,0.0,0.0,0.0
19,"[8.122296176906666, 1.011700860684709, 8.94517340676777]","[0.06819275024904914, -0.20461448235259952, 1.0866964652386928]","[0.2455511663691512, 1.3845464728448331, -1.9578119408483197]","[7.203711957856001, 1.05, 9.014511957856]",0.0,0.0,0.0,0.0
20,"[7.473768009962662, 1.0291963544908156, 9.054459305804366]","[0.023170377173688035, 0.01579545048630938, 0.10670237125882942]","[-0.05497884273046594, 0.15427925871525083, -0.5466849093763715]","[6.586800000000003, 1.05, 9.0]",0.0,0.0,0.0,0.0
21,"[6.74980377776681, 1.0193271836960849, 9.121418515417307]","[0.017051200961558155, -0.14645042743937647, 0.9409453419387559]","[0.14050024287010077, -0.12263478181173681, -1.721467116990505]","[5.987400000000002, 1.05, 9.0]",0.0,0.0,0.0,0.0
22,"[6.3635660865976895, 1.030567978393715, 8.99105069095681]","[-0.19695827838462315, 0.11043078850161508, 0.5479433191248625]","[-0.057817582114705335, 0.4522046632342708, 1.9756244407548307]","[5.366400000000001, 1.05, 9.0]",0.0,0.0,0.0,0.0
