ts,dr_pos,dr_vel,dr_acc,sub_pos,goal_force,subj_force,ped_force,obj_force
10,"[8.022109655657438, 0.9820530504048073, 4.002949433613407]","[-0.017426171917957294, 0.16004822289157086, 0.0027204580608996627]","[0.017123641624046393, -1.0247922307838608, 0.007063147876384176]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
11,"[8.021749394454254, 0.9849989672270768, 4.0030044260444155]","[-0.017218392557623353, 0.13488461910520405, 0.002891349459669015]","[1.1136949149666773, 0.038367074343726576, -0.0013377635463560425]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
12,"[8.305550086114518, 1.0045962260368544, 4.010609999046218]","[0.9003646040764899, 0.17283650734484868, -0.05156419085787839]","[1.7953561465023915, 0.3805320175505056, -0.4875838218535711]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
13,"[9.644359493232733, 0.9999135219509191, 4.052373970317965]","[0.5132194491722833, -0.19979061148165578, -0.5802483488458682]","[-2.1437143841410156, 0.9084029339608835, 1.5275058164352928]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
14,"[9.802317984730674, 1.0161123871333149, 3.994602759335891]","[-0.007923166329407264, 0.006274004028171786, -0.06429367481267961]","[-0.04739471069782619, -0.03450687607820663, 0.030046340504505387]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
15,"[9.833397410756037, 1.016703207208871, 3.9765120921377366]","[-0.027121276020634487, -0.0012703390318958045, -0.030261009244735234]","[-0.05765401928151462, 0.11742993724707211, -0.8939765662370758]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
16,"[10.303969251980751, 1.005627294786908, 4.589000614395197]","[-0.5541586112029625, 0.2900864141558705, -1.4566240979053888]","[0.0969327022484201, -3.513577401619561, 1.3273948912708722]","[8.903266884864001, 1.05, 5.0]",0.0,0.0,0.0,0.0
17,"[10.61321872212026, 0.9938516696069504, 5.473062646573184]","[0.446374029147603, 0.07052779813201093, -0.14149756058059026]","[1.916990769716076, 0.42033699267191027, 0.20308939814789317]","[8.394243861564, 1.05, 5.0]",0.0,0.0,0.0,0.0
18,"[9.365942118721174, 0.9889744179421323, 5.472008003569441]","[1.039711360011236, -0.2935872161327123, -0.06932481701586961]","[-3.2635488416541403, 0.869434390850965, 0.16168815650369206]","[7.783200000000002, 1.05, 5.0]",0.0,0.0,0.0,0.0
19,"[9.040469446013697, 1.010474750615986, 5.364835500548432]","[0.5691694951786581, 0.1374874787860184, 0.40968120409992065]","[1.8475787483778205, 0.20909913640440592, 0.5163830632059496]","[7.1994, 1.05, 5.0]",0.0,0.0,0.0,0.0
20,"[7.73629770493563, 0.9966268663833998, 4.869016524990908]","[1.634887620382601, -0.32271920718045055, 0.3000355412670901]","[-2.681020634177411, -1.712121942478606, -0.7056373098232038]","[6.582000000000002, 1.05, 5.0]",0.0,0.0,0.0,0.0
21,"[7.2671804138144855, 1.0080823353168844, 5.137335885663703]","[-0.07651008929208564, 0.07147002592925167, -1.0635185059390555]","[0.1274242026183675, -1.5838539490447487, 0.8957272761889179]","[5.938800000000002, 1.05, 5.0]",0.0,0.0,0.0,0.0
22,"[7.026969892236407, 1.0079092299604726, 5.528196638711067]","[0.565298111947541, 0.13782549277613082, 0.45790548731129255]","[0.8491560925381059, 0.56641414738684, 1.8899496279409789]","[5.364000000000004, 1.05, 5.0]",0.0,0.0,0.0,0.0
23,"[6.304530639277114, 1.0042174864248024, 4.707856964846765]","[0.5130254191757869, -0.05858311142059919, 0.1438157735079582]","[-1.0126789812545667, 0.09886761964704449, -1.2958085447345724]","[4.786800000000004, 1.05, 5.0]",0.0,0.0,0.0,0.0
24,"[5.706861254724233, 1.006753610508723, 4.742618055217155]","[1.1089366170052481, 0.13438777673334645, -0.040289844299803916]","[1.090614423984615, 0.1118759559317617, -0.002469262197650479]","[4.184400000000004, 1.05, 5.0]",0.0,0.0,0.0,0.0
25,"[4.530698333640749, 1.0079896347663404, 4.803504981410741]","[0.3717382758553813, -0.06670667625106934, -0.021583378990287005]","[-1.9820626634952099, 0.5613977915219087, 0.02972974574122836]","[3.5832000000000046, 1.05, 5.0]",0.0,0.0,0.0,0.0
