ts,dr_pos,dr_vel,dr_acc,sub_pos,goal_force,subj_force,ped_force,obj_force
10,"[14.01193349283968, 0.9798165791546507, 9.005676585104064]","[-0.043669051479891405, 0.15305049973349077, 0.009397402468132237]","[0.06286514948124905, -1.0254937650293894, -0.01072807009957176]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
11,"[14.00646348388014, 0.9904601365665603, 9.006703506949563]","[-0.04437070805008843, 0.042288888500690076, 0.0080855664325651]","[-0.006751919998888856, -0.027916754283020817, -0.004339592450303131]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
12,"[13.953053913265473, 1.0090015879158396, 9.008472554266156]","[-0.056551915266404545, 0.010950712058263085, -0.03981611613577454]","[0.09146653340065536, -0.016765108335809256, -0.020272529071593826]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
13,"[13.902400164855855, 1.0134421576163963, 8.989670005515576]","[0.006797323447957769, 0.0033255918302363564, -0.03513844133727154]","[0.051691391143127846, -0.011879900307053964, 0.060212247219117165]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
14,"[13.893522658082762, 1.0163876868688975, 8.978180587470783]","[8.56186232100608e-06, 0.0015637282375504872, 0.0010858706073481718]","[-0.01261578903008774, -0.025011203477387847, -0.013504842484094977]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
15,"[13.893639149988626, 1.0150550193650782, 8.984590019000164]","[-0.004212921942373028, -0.003487070828672298, -0.010079426157400454]","[0.00738895484581753, -0.0020868938273195525, -0.011120063263798594]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
16,"[13.901631305813156, 1.0114746515881916, 8.997599162773936]","[-0.015206935710629295, -0.004813305866928236, -0.007414835288506723]","[0.0004686209215537529, 0.004792319783997884, 0.031146410850606265]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
17,"[13.846825380878077, 1.0062119284786128, 9.045180007603307]","[0.46459008825193276, 0.15044054876369028, -0.40795633571130746]","[0.9842272671536367, -1.3030167134568393, -0.9960246689675323]","[12.414520999936002, 1.05, 9.0]",0.0,0.0,0.0,0.0
18,"[13.475666502291865, 1.0050363531246027, 9.144745740569952]","[0.15333213463161324, -0.015177080548297906, 0.33172689786511805]","[-0.185819281522559, 0.18085829475905646, -0.6216293833800068]","[11.795200000000001, 1.05, 9.0]",0.0,0.0,0.0,0.0
19,"[13.068386754799912, 1.006858626722267, 9.020011560018173]","[0.38615485160083, 0.032967778997253006, -0.28699647666842937]","[0.028237618643789375, 0.6031399509155155, -0.6137945514061993]","[11.197000000000001, 1.05, 9.0]",0.0,0.0,0.0,0.0
20,"[12.412722039913358, 1.008978875208776, 9.232968538427127]","[0.5735909604706608, 0.04056666715074399, -0.08469916825152868]","[0.6646982219683517, -0.2419326973853997, 0.1972030872579994]","[10.532542594816002, 1.05, 9.050657405184]",0.0,0.0,0.0,0.0
21,"[11.554449496166, 1.0078519845755207, 9.183591133235486]","[0.7952325189524165, -0.15283233202423602, -0.03264024861285579]","[-1.4974955270986579, 1.1467685895692885, 0.04665579249290425]","[9.984832753888002, 1.05, 8.982767246112003]",0.0,0.0,0.0,0.0
22,"[11.138578661426228, 1.0134159068607114, 9.149536171983906]","[0.45591289370688476, 0.07071589674249579, -0.11942192125159257]","[1.533139082841084, 0.23753966006503924, -0.36034919810123966]","[9.954030875812, 1.05, 8.433369124188003]",0.0,0.0,0.0,0.0
