ts,dr_pos,dr_vel,dr_acc,sub_pos,goal_force,subj_force,ped_force,obj_force
11,"[6.005029384518639, 0.9799942948376668, 3.0139326880514155]","[0.010703586886727122, 0.16727641910593125, -0.04712053450186007]","[0.025950210949950495, -0.6584421448295463, -0.021229392011365422]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
12,"[6.040706090303015, 1.0098397925988374, 2.5734862205349063]","[0.26041339128334756, 0.23527151627988482, -1.2256405881192787]","[1.8148408413358186, -0.38653453431780616, -1.204813257630999]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
13,"[6.540980678353248, 1.006479154207678, 1.8007786144037334]","[0.22103991440079082, -0.03648670861255482, -0.05682091318177273]","[-0.913636166963272, 0.20699623372769094, 0.5897994817906788]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
14,"[6.714144524561536, 1.0110561457382816, 1.7884101510092565]","[0.20140990251072524, 0.014097849983853465, 0.008286910581350927]","[0.5927856000456089, -0.21085285031824386, 0.9376579405501045]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
15,"[6.870969558635675, 1.0135104488721873, 1.9439789059478256]","[0.02705077778805638, 0.001479205893568239, 0.0752553539240008]","[-0.011096080973539008, -0.02112316366362633, -0.03530251687360042]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
16,"[6.923605250051774, 1.0187508724352252, 2.0028664956476367]","[0.054659645683222145, 0.0023465128095166124, 0.05519142052739706]","[1.0397836228302342, 0.14985750521797658, -0.02746539701706241]","[7.0, 1.0549999999996043, 3.0112615211520004]",0.0,0.0,0.0,0.0
17,"[7.001582653169733, 1.013187493994396, 2.1507720095906104]","[0.0023326107408213805, 0.10525819395711768, 0.5908131223909594]","[-0.003374061399767647, 0.4821558678358706, 1.8755589927522687]","[7.0, 1.05, 3.564539034144]",0.0,0.0,0.0,0.0
18,"[6.997819254138486, 1.009435907291975, 2.801082481713905]","[0.013735759656094818, 0.1499878964641768, 0.8654873174254544]","[-0.0033147646335239533, -0.5272891825495452, 1.8193410386220243]","[7.0, 1.05, 4.206599999999999]",0.0,0.0,0.0,0.0
19,"[7.009112638023632, 1.0080201306891996, 3.697891655429171]","[0.034445287075518395, -0.020339217547629428, 0.1973719446560838]","[0.0274297203822077, 0.17956758194069208, -1.1092049359604228]","[7.0, 1.05, 4.811399999999997]",0.0,0.0,0.0,0.0
20,"[7.036691785463765, 1.0043672795570167, 4.261557356700621]","[0.016846899841043768, -0.1538544011794281, 0.9753810407779929]","[-0.015545064819103699, -0.3852596993573765, -1.8892950073543524]","[7.0, 1.05, 5.405999999999999]",0.0,0.0,0.0,0.0
