ts,dr_pos,dr_vel,dr_acc,sub_pos,goal_force,subj_force,ped_force,obj_force
10,"[7.0222752687959415, 7.005698524481078, 0.9793023487192711]","[-0.020015745232482854, 0.007411718126849889, 0.15476785845513116]","[0.01238774865899156, 0.009743590846094698, -0.9495932221657566]","(0.0, 0.0, 1.05)",0.0,0.0,0.0,0.0
11,"[7.018169770792548, 7.007113277823845, 0.9918287880647397]","[-0.026106885139841246, 0.00900891189510102, 0.03128144908982044]","[-0.025642859188879097, 0.01216034064341863, -0.11202017689096802]","(0.0, 0.0, 1.05)",0.0,0.0,0.0,0.0
12,"[6.981578795657885, 7.017862338182977, 1.0088388523014609]","[-0.026484247880469425, 0.007459880391112239, 0.010143017267030112]","[0.06593476163454029, -0.028786024595189863, 0.029719645893634683]","(0.0, 0.0, 1.05)",0.0,0.0,0.0,0.0
13,"[6.970815115663608, 7.016681117335662, 1.0137116960319965]","[-0.008180438078218517, -0.0022992452844018308, 0.004149415440007209]","[-0.0027414162761425775, 0.0022828670596503585, -0.005568927185363275]","(0.0, 0.0, 1.05)",0.0,0.0,0.0,0.0
14,"[6.96308290829385, 7.0142353269968485, 1.0168082521368813]","[0.0007214818725116373, -0.004894692946386549, 0.00037406118357377475]","[0.001138210442653458, 0.003756905677167535, -0.015888807565952404]","(0.0, 0.0, 1.05)",0.0,0.0,0.0,0.0
15,"[6.964292871741377, 7.013378472737427, 1.0152546599203147]","[-0.004884833839739936, 0.0019354734756030678, -0.0028777340232433953]","[0.008283731944979875, -0.031535432394433696, 0.008588362583704292]","(0.0, 0.0, 1.05)",0.0,0.0,0.0,0.0
16,"[6.9545163195949575, 7.000799520445564, 1.0117816673302376]","[0.015112758056716198, -0.02349849001001646, -0.004792832852461422]","[-0.017026290591873328, -0.011359790706735179, 0.007772346227221012]","(0.0, 0.0, 1.05)",0.0,0.0,0.0,0.0
17,"[6.932856936668657, 6.983873861567858, 1.0101591344224965]","[0.008253531334285634, -0.01726222457482025, 0.003829983833769045]","[-0.003750962859662074, 0.03448040675978897, -0.017246304778262365]","(5.429183881764, 6.0, 1.05)",0.0,0.0,0.0,0.0
18,"[6.878793974336086, 6.920556578632506, 1.0084400675742204]","[0.5059700182883355, 0.050544620334494306, 0.08523120622753931]","[1.8164682720727132, 0.39131145127388467, 0.3964704957501036]","(4.779600000000002, 6.0, 1.05)",0.0,0.0,0.0,0.0
19,"[5.883153483484404, 6.108751693692508, 0.993147160091293]","[1.5713985772923167, 0.34187837071453053, -0.0011728450660763706]","[-1.0810120475566176, -1.0098185350292388, -2.1065725807783293]","(4.1514000000000015, 6.0, 1.05)",0.0,0.0,0.0,0.0
20,"[5.070790295439982, 5.936797677781252, 1.0138122968134424]","[0.3789321447725853, -0.03961740223545179, 0.03697042309549668]","[0.6308943471349249, 0.04567836062888825, 0.3050099812443169]","(3.590400000000002, 6.0, 1.05)",0.0,0.0,0.0,0.0
21,"[4.324912717982042, 5.959581007591646, 1.0090047054970854]","[0.5960742682359415, -0.014741441430144093, -0.1044113432275414]","[-1.7376714569109497, 0.042501724551466044, 0.45635865812066606]","(2.953800000000001, 6.0, 1.05)",0.0,0.0,0.0,0.0
22,"[3.893419355695073, 5.952089194932423, 1.0100270475022046]","[0.7108451394515533, -0.004150919995809495, 0.10276796142543412]","[1.4077503229824595, -0.010056827804518984, 0.5558186391070585]","(2.3856000000000024, 6.0, 1.05)",0.0,0.0,0.0,0.0
23,"[3.4308717821788877, 5.937105280500425, 1.0119630234085883]","[0.2512377170619066, -0.002766373372032352, 0.021154671242800856]","[1.2014309006215806, -0.008799304595559151, -0.2620597660787094]","(1.783200000000004, 6.0, 1.05)",0.0,0.0,0.0,0.0
24,"[2.939626782402378, 5.910303064939558, 1.00404604154244]","[1.1800492446254143, -0.008548802347814806, 0.1995048175999404]","[-2.021414217155959, -0.0017101362696919642, -1.753129281595156]","(1.1490000000000027, 6.0, 1.05)",0.0,0.0,0.0,0.0
