ts,dr_pos,dr_vel,dr_acc,sub_pos,goal_force,subj_force,ped_force,obj_force
10,"[0.979042742006963, 15.005272892453664, 10.023379652116834]","[0.17114949271740304, 0.007148348180848586, -0.02440159623106206]","[-0.4994653140810157, 0.016539450300083122, -0.038238831231999365]","[1.05, 0.0, 0.0]",0.0,0.0,0.0,0.0
11,"[0.9935409096365362, 15.006543606480188, 10.018784480461784]","[0.04365831078113899, 0.009845411892778173, -0.03415040489280348]","[-0.1195264686607439, 0.023516591318070365, -0.027995747153772288]","[1.05, 0.0, 0.0]",0.0,0.0,0.0,0.0
12,"[1.0108188323207155, 15.019667682993525, 9.991757580524247]","[0.029409818073095454, 0.1301832697421376, 0.043455198493616065]","[0.43859048881368656, 1.5675446452463604, 0.9165371684910495]","[1.05, 0.0, 0.0]",0.0,0.0,0.0,0.0
13,"[0.9969111903760729, 15.3780265951912, 11.06146498951861]","[-0.26215808729281603, 0.8874812613476741, 0.08247183417598852]","[1.1253154600063264, -3.0238922024972137, -1.03869892811842]","[1.05, 0.0, 0.0]",0.0,0.0,0.0,0.0
14,"[1.007351996973199, 15.482427870801418, 11.053091104092744]","[0.004658100497160091, -0.1706300239511523, -0.05319836507047705]","[0.08623347669318993, 0.5568291811335335, 0.10113851462809076]","[1.05, 0.0, 0.0]",0.0,0.0,0.0,0.0
15,"[1.0156789693946462, 15.490704980008474, 10.967422138946494]","[0.001275477825022847, -0.05806320256220719, 0.005147142795416899]","[-0.013845810674787675, 0.07249915334120449, 0.010050416970545928]","[1.05, 0.0, 0.0]",0.0,0.0,0.0,0.0
16,"[1.0144973235150148, 15.480160982199221, 10.940087495755636]","[-0.0033036067171023156, -0.009756721492133856, 0.006929350332295532]","[-0.010300091220881956, 0.013587304639697817, 0.1240689096877138]","[1.0549999999996043, 14.000228241152, 10.988510237696]",0.0,0.0,0.0,0.0
17,"[1.0082571184493743, 15.297932415296959, 10.946528617973746]","[0.12157865063646069, 0.0758870580563798, 0.6278793399367478]","[0.38641565903335673, 0.6335406211967487, 1.9026942284707804]","[1.05, 14.074043940608, 10.287304438784002]",0.0,0.0,0.0,0.0
18,"[0.9937563827209841, 14.034484153045414, 10.673636375268913]","[-0.2173151241583569, 0.41189910322337164, 0.6239232843365047]","[1.0296419017323255, -1.651299845911558, -2.6919689635565014]","[1.05, 13.839766544884, 9.932033455116]",0.0,0.0,0.0,0.0
19,"[1.0089555786121718, 13.994288051853559, 10.721046763260313]","[0.03585236762229495, -0.22823802404164611, 0.12814097561842766]","[0.25067765046803137, -1.6288329922155564, 0.23841644508343363]","[1.05, 13.091961876448, 9.996438123552]",0.0,0.0,0.0,0.0
20,"[1.010763872703876, 13.98833648592938, 9.993247302533337]","[-0.05682568581844104, -0.358879601682887, 0.07071799647633856]","[0.42657904405090513, 1.678990684409798, -0.2929744053080108]","[1.05, 12.580200000000001, 10.0]",0.0,0.0,0.0,0.0
