ts,dr_pos,dr_vel,dr_acc,sub_pos,goal_force,subj_force,ped_force,obj_force
10,"[0.9806796992172484, 1.021124039991507, 14.003333421871107]","[0.15897666234154262, -0.018675230405731942, 0.00291552622870159]","[-0.9531905982063105, 0.03926456360571484, -0.0028484419555344087]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
11,"[0.9915477782509851, 1.0189116876908604, 14.003650634019197]","[0.048885823038047574, -0.01993516259799866, 0.0031019025308104543]","[-0.04446422729499633, 0.019143804376418883, 0.00823777315855619]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
12,"[1.0092390457045688, 0.9984527343940403, 14.007468799219845]","[0.01015065238950695, -0.011325854532773986, -0.017905611512520528]","[-0.050120536830532136, 0.02230844349673626, -0.02826137657754857]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
13,"[1.0139309886927783, 0.9738824979142023, 13.98070700049996]","[0.005627143369791589, 0.027271449291828846, -0.019723244065980746]","[0.009674113901118886, 0.02243938243389962, 0.054185988062810386]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
14,"[1.0154150525179242, 0.513186430306564, 14.227247024669124]","[0.16396250462222445, -0.8667064156372745, -0.9704913605002191]","[-1.6797550976163644, -1.3808483029820184, -0.20506331735659078]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
15,"[1.0101261473298928, -0.06520766705826742, 14.967081775406132]","[-0.04827164576906594, -0.13851985800206404, -0.05603928029986702]","[0.2275622793596055, 0.6155046061965749, 0.23100052438413538]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
16,"[1.004855057179505, -0.10112986221955393, 15.034327450065515]","[0.0031438849714257775, -0.06652839784881162, -0.02346316696540955]","[-0.0007685803528546982, 0.086941011467348, 0.04332240184904204]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
17,"[1.0083496572997668, -0.10917134486929675, 15.066552413857845]","[0.007058174685499281, -0.015055357491234931, 0.005124552019744442]","[-0.031708936465950875, 0.014028525995860713, -7.238941817852562e-05]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
18,"[1.0112680611853138, -0.10446643569891843, 15.077147806282916]","[0.0015723045271300905, -0.006067123154847114, 0.0015852392263363013]","[0.024218964601943355, 0.009923907727201788, -0.02035306822709788]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
19,"[1.0129379885251673, -0.1046898286415789, 15.079356225546924]","[-0.0018381673320817028, -0.002205079274128445, 0.0004634852791976865]","[-0.02547544984064082, -0.0035105072538760274, 0.0030427431008048234]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
20,"[1.0129576098678426, -0.10268719365904597, 15.082638718691424]","[0.002110927007015915, -0.004269594401035525, 0.003507646275243223]","[-0.00822062340120193, -0.0048354233576110295, 0.0022679549350652917]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
21,"[1.011713755810299, -0.09794095993358594, 15.087338003888053]","[-0.0008191023885815738, -0.0010047304953642317, 0.004531405547625733]","[0.024914734516007165, 0.01591730559664722, -0.014716501043841087]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
22,"[1.0120439480387955, -0.09793423453111949, 15.084991216316567]","[0.0026352314216825314, 0.0041629410355301325, -0.0005005867864446155]","[0.02860119704048902, 0.0026604284092991703, -0.0006886838184966097]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
23,"[1.0118259752982677, -0.09877142039943061, 15.079919365676579]","[0.00012663504914213952, 0.0020433669072650778, -0.0012983361944561597]","[-0.022743640349122313, -0.016731693090422592, 9.063168236126545e-05]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
24,"[1.0123590724243705, -0.10037153075330786, 15.08164229745391]","[-0.0003777859852165114, -0.0026428941851727485, -0.0024055875221916526]","[0.017824733618190404, 0.0011923026539818575, -0.0027942994551446824]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
25,"[1.0108832676073032, -0.10463797873275235, 15.084551530062274]","[-0.0024847487121708806, -0.0029679953456237546, -0.005147407014950489]","[-0.01893200267516059, -0.001172979518518618, -0.002559679556490141]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
26,"[1.0100064170611511, -0.10655904457985663, 15.086599327884041]","[0.0010316602871825455, 0.002007755611807031, 0.010155654460525453]","[0.01930158046034385, 0.005571519049992445, 0.01818623888640361]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
27,"[1.01190529085798, -0.11283910212704668, 15.08609727909545]","[0.001281691054782198, 0.008196601607505922, -0.014535264798768193]","[-0.0012538250814095493, 0.011194829792149016, 0.0015014447245983997]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
