ts,dr_pos,dr_vel,dr_acc,sub_pos,goal_force,subj_force,ped_force,obj_force
12,"[6.016225965405351, 8.0047298683838, 0.9804103594447435]","[-0.04353444232544407, 0.008101588453273611, 0.15886131109709759]","[-0.022147413437152708, 0.006394911721076951, -0.9443422981631755]","[0.0, 0.0, 1.05]",0.0,0.0,0.0,0.0
13,"[5.795697468085546, 7.8305749002902765, 1.0069931512743295]","[-0.66409864549556, -0.6096394844635085, 0.1100848838801982]","[-1.802362849519179, -1.6551896943048927, 1.0267576126832823]","[0.0, 0.0, 1.05]",0.0,0.0,0.0,0.0
14,"[4.146183979378786, 6.18190537046647, 1.0056442550974616]","[-1.4981615027737447, -1.411370055300803, -0.6289734326848272]","[2.6416534133739678, 2.565551056957549, 0.345097634748881]","[0.0, 0.0, 1.05]",0.0,0.0,0.0,0.0
15,"[3.346621227535157, 5.713641102381279, 0.9989537426376184]","[-0.5874057467596918, 0.36041421810508856, 0.00037969915582060495]","[1.206772810078971, -0.8604448898317796, 0.1786777253243374]","[0.0, 0.0, 1.05]",0.0,0.0,0.0,0.0
16,"[3.1378047363886594, 5.807446146095191, 1.0092127684587149]","[-0.049284659002078186, 0.06322032555828681, 0.012063816524362208]","[0.09826291606834098, -0.03549957544626142, -0.005751370724785959]","[5.032388671316001, 7.0, 1.0549999999996043]",0.0,0.0,0.0,0.0
17,"[3.3889397747995598, 6.012160741066006, 1.0039686307582063]","[1.0958971407089915, 0.047074200408849465, 0.22418507969163134]","[2.0003068434542026, -0.008121279227724099, 0.41547412464137956]","[5.583383058500001, 7.0, 1.05]",0.0,0.0,0.0,0.0
18,"[4.210837634100558, 6.529623031614449, 1.0021676852134194]","[0.5362782563334794, 0.20049253616062324, -0.011290444529119845]","[-0.015647962232967494, -0.17705703425813235, 0.3728769124724321]","[6.237799999999999, 7.000000000000001, 1.05]",0.0,0.0,0.0,0.0
19,"[5.031535191018805, 6.771406606991592, 1.0030279335257473]","[1.4269769283467688, -0.31466141443857953, 0.17229301311419207]","[0.44536875456024916, -1.4178385582704345, 0.0787019468823924]","[6.8408, 7.0, 1.05]",0.0,0.0,0.0,0.0
20,"[6.315456719414946, 6.661205435547371, 1.0084869912274044]","[1.162830277370657, 0.3724841434634873, 0.30527016818686703]","[1.867623533984064, 2.252693629055391, 0.0894157742985513]","[7.419199999999998, 7.0, 1.05]",0.0,0.0,0.0,0.0
21,"[7.063452835047225, 7.1854361678177945, 1.0060463689809092]","[0.45943942175282326, -0.49015715786619496, 0.0677663758257069]","[-0.3885657005153198, -1.606593596718997, -0.5560809032369579]","[8.005399999999998, 7.000000000000001, 1.05]",0.0,0.0,0.0,0.0
22,"[7.309053943052996, 6.695198342648389, 1.0153120974045178]","[-0.13757127445492173, -0.5056013540512256, 0.02434970192254828]","[0.0653367010353123, -0.28915259696493667, -0.04156760179814881]","[8.606599999999997, 7.0, 1.05]",0.0,0.0,0.0,0.0
23,"[7.744786161077534, 5.756760940291611, 1.004583041344638]","[0.27608547828515184, -1.5605937881746363, 0.19153000997305208]","[0.7561127215469643, -0.8184345154989003, -0.05393369174647167]","[9.224599999999995, 7.000000000000001, 1.05]",0.0,0.0,0.0,0.0
