ts,dr_pos,dr_vel,dr_acc,sub_pos,goal_force,subj_force,ped_force,obj_force
12,"[5.003858752087139, 0.9791167004950078, 9.023831602288974]","[0.005740614321289422, 0.16253237338085774, -0.017641367431755657]","[0.007301903986347939, -0.690139417747565, 0.026162005626037543]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
13,"[5.219080406339621, 1.0047037607526315, 9.006992125041725]","[0.8568436384152791, 0.1848274102426585, -0.01664346982519673]","[1.9086688861553736, 0.2737445076250178, -0.26100645534964106]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
14,"[6.301118650748644, 1.0050534269539857, 8.956679836575107]","[0.8088836991387323, 0.17581768184057878, -0.6015924567599444]","[1.3895122242651992, 0.5114136196308905, -0.4453491003963972]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
15,"[7.204454029115564, 1.0013279794316643, 9.358856028495158]","[0.13424733994047264, -0.03237262052672923, -0.07451578606227512]","[-1.0157616006375991, 0.23199087043846572, 1.287525335823353]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
16,"[7.105070769155426, 1.0021244921331478, 9.903893038682883]","[0.8860755176237023, 0.05416474582119877, 0.09551827962742421]","[-0.841118896263926, -1.188954003881075, -0.5917581050978171]","[5.977621518972001, 1.0549999999996043, 10.0]",0.0,0.0,0.0,0.0
17,"[7.149617114505681, 1.00962778091463, 10.19984133877121]","[-0.0010140944422923626, 0.07087753507563627, 0.40518654132221665]","[0.5092452666352054, 0.1942250079798591, 1.990843279322585]","[5.434066464000002, 1.05, 10.0]",0.0,0.0,0.0,0.0
18,"[6.219660949516009, 0.9931736446863474, 10.216995953561602]","[0.02682789502491867, -0.09212697393406002, 1.5828751235137786]","[-0.04104893163203727, -1.2182759468642446, -2.68326380437367]","[4.747800000000001, 1.05, 9.999999999999998]",0.0,0.0,0.0,0.0
19,"[5.546409917005175, 1.0092096298350552, 10.049913623130596]","[-0.4301091586457736, 0.08146238714692665, 0.4311245239288714]","[-0.15372146031289446, 0.32367460187521235, 1.5030458298107563]","[4.178400000000001, 1.05, 10.0]",0.0,0.0,0.0,0.0
20,"[4.733744298346417, 1.0053597489763835, 9.898729564022402]","[0.40703160588127046, 0.010947755201503484, 1.0256298674033413]","[0.35507819915836514, 0.13861348551477692, -1.4541868610314923]","[3.567000000000002, 1.05, 10.0]",0.0,0.0,0.0,0.0
