ts,dr_pos,dr_vel,dr_acc,sub_pos,goal_force,subj_force,ped_force,obj_force
11,"[8.004090967105366, 4.0219564852595875, 0.9739646397599444]","[0.005630178149898663, -0.026382464419971944, 0.17249519410910358]","[0.0036351925061560778, 0.01719888314312759, -0.4948268231042552]","[0.0, 0.0, 1.05]",0.0,0.0,0.0,0.0
12,"[8.005272761989648, 4.0163473930330245, 0.9916305042507264]","[0.00643767061993083, -0.027057361385287703, 0.031216304626803547]","[-0.00027917075662471647, 0.0451320468819634, -0.14140519707027052]","[0.0, 0.0, 1.05]",0.0,0.0,0.0,0.0
13,"[8.030396402730238, 3.6900069537349496, 1.0104815693081644]","[-0.06667943667732175, -0.5685106610481576, 0.11762353151767771]","[-0.2613388213479062, -1.6347547852167965, 0.41828997330270457]","[0.0, 0.0, 1.05]",0.0,0.0,0.0,0.0
14,"[8.501672243624697, 2.3756996475924783, 1.0136694185445556]","[-0.7747403171748187, -2.013481927199954, 0.43328816565323486]","[-1.3213686183188855, -0.931587657647448, 0.2009936947543478]","[0.0, 0.0, 1.05]",0.0,0.0,0.0,0.0
15,"[9.725675364274183, 0.7918809070196898, 1.0168522304197647]","[-0.4923446893352621, -1.922383982193586, -0.1791543992314921]","[2.162677232777077, 2.1827821076652043, 0.21389081787859254]","[0.0, 0.0, 1.05]",0.0,0.0,0.0,0.0
16,"[10.787856736956138, 1.1292183259213957, 0.987310317582636]","[1.1977646600089775, 0.33502391504283496, 0.24637003802660798]","[1.181856816376392, 1.6942730073413736, 1.0040220902848562]","[9.0, 3.003651653376, 1.0549999999996043]",0.0,0.0,0.0,0.0
17,"[10.369659551974781, 2.4743186765382448, 0.99518226837986]","[0.2864933388596768, 0.5513753341413521, -0.1226456184808987]","[-1.3631417181480532, -1.8325099291249813, 1.3350511441376778]","[9.0, 3.5617507596479987, 1.05]",0.0,0.0,0.0,0.0
18,"[9.794321733400416, 3.104338110485334, 0.9977908388261791]","[-0.03745970755295758, 1.3671085330131738, 0.06723332995652015]","[0.061240342855872765, -0.4991562904830271, -2.0590000841689546]","[9.033818428, 4.347818428, 1.05]",0.0,0.0,0.0,0.0
19,"[9.236749985784442, 3.828425320136454, 1.0151333554092674]","[-0.0019630008654773073, 0.2011631815933936, 0.01289143063711793]","[0.34373280362212655, 0.8400801911114808, -0.17784245147616645]","[9.056272793344, 4.897072793343999, 1.05]",0.0,0.0,0.0,0.0
20,"[9.126641107532308, 4.15446475858628, 1.0177373786205781]","[-0.20865591629179361, 0.3025757257959912, 0.013674729894042103]","[0.2498405888941846, 0.744408762697546, 0.25526016211582964]","[8.649568230500002, 5.0705682305, 1.05]",0.0,0.0,0.0,0.0
21,"[8.88344566580452, 4.461220368545676, 1.013581595452066]","[0.059236820926833425, 0.29309058170383717, -0.005971435573515107]","[0.26674147980544627, 0.004326498428797176, 0.3654878351325632]","[7.975400000000001, 5.0, 1.05]",0.0,0.0,0.0,0.0
22,"[8.59422442258148, 4.775719554544764, 1.009145271344496]","[0.11479145475609362, 0.46229018473932265, 0.06405062690039275]","[-0.043789276669037314, 1.6132445649277294, 0.3329029759311791]","[7.374200000000004, 5.0, 1.05]",0.0,0.0,0.0,0.0
23,"[7.899187144945494, 5.052562360025801, 1.0072061895526851]","[0.16629818746547304, 0.6855160359033216, -0.046337527520288045]","[0.004563854633987674, -0.9709965935198461, 0.7146908024159154]","[6.788000000000003, 5.0, 1.05]",0.0,0.0,0.0,0.0
